track_uri,track,artist,artist_popularity,followers,artist_genre,track_popularity,album,playlist,danceability,valence,energy,tempo,loudness,speechiness,instrumentalness,liveness,acousticness,key
70MgcT507FGdoDBBLdmsqu,moonlight,dhruv,70,403434,"['chill r&b', 'nyc pop', 'pop']",56,moonlight,r&b,0.732,0.565,0.502,92.064,-11.229,0.172,0.00123,0.104,0.634,2
3vWeZSOhhmOai0Go0zKm5j,"she likes spring, I prefer winter",slchld,58,280757,"['canadian contemporary r&b', 'chill r&b', 'pop']",65,"my insecurities, not yours",r&b,0.39,0.487,0.661,79.56,-6.68,0.0604,0,0.264,0.556,9
3MYhmpUxwRpYigA04FBmYH,best for you,slchld,58,280757,"['canadian contemporary r&b', 'chill r&b', 'pop']",45,best for you,r&b,0.693,0.454,0.513,95.004,-8.653,0.0637,0,0.114,0.0973,1
2P2r0647uy5pKUikGZ7q9B,maybe we need a break,slchld,58,280757,"['canadian contemporary r&b', 'chill r&b', 'pop']",60,modern breakups,r&b,0.446,0.348,0.409,80.111,-4.812,0.0547,0,0.0891,0.766,9
5sZOGj6SfzD7lWpwKhF6oE,say what's on your mind,slchld,58,280757,"['canadian contemporary r&b', 'chill r&b', 'pop']",54,as long as you're okay,r&b,0.676,0.369,0.462,78.959,-4.207,0.037,0.0286,0.222,0.81,6
0lle0LEefuvobKLYBTBvqY,love me at my worst,slchld,58,280757,"['canadian contemporary r&b', 'chill r&b', 'pop']",46,love me at my worst,r&b,0.551,0.532,0.498,129.923,-5.812,0.0928,0,0.166,0.46,6
5DyBTivjORrpNhJkJj2Ao5,All Night Long,thuy,64,148624,"['chill r&b', 'indie r&b', 'pop', 'r&b']",62,All Night Long,r&b,0.354,0.0483,0.542,100.032,-9.61,0.12,0.000424,0.09,0.0815,4
6gSBiIezn6yKhCVhBUOSwB,universe,thuy,64,148624,"['chill r&b', 'indie r&b', 'pop', 'r&b']",53,universe,r&b,0.636,0.0678,0.452,80.004,-8.298,0.0329,1.97E-06,0.104,0.136,11
2R7ZNlng7Kjdo0Pp4TWNXa,Frío,Omar Apollo,75,701973,"['bedroom pop', 'bedroom soul', 'pop']",24,Frío,r&b,0.689,0.76,0.836,85.795,-3.966,0.408,0.00129,0.108,0.501,0
09hCjCYUFFzb85ScMxBhYy,Amor Malo,Omar Apollo,75,701973,"['bedroom pop', 'bedroom soul', 'pop']",15,Stereo,r&b,0.663,0.531,0.531,140.657,-8.452,0.0452,0.00412,0.0962,0.642,9
